ImageName,Latitude,Longitude,Height,angle0,angle1,angle2,angle3
2018.01.06_I0-0_DC_NUCF_1297.tiff,54.7810533333,11.8543450000,96.6000000000,0.06,0.04,-0.08,-285.54
2018.01.06_I0-0_DC_NUCF_1301.tiff,54.7810866667,11.8542200000,96.4000000000,-0.18,-0.04,-0.16,-298.78
2018.01.06_I0-0_DC_NUCF_1308.tiff,54.7811133333,11.8541483333,96.0000000000,0.05,-0.07,0.15,-303.29
2018.01.06_I0-0_DC_NUCF_1314.tiff,54.7811400000,11.8540850000,95.6000000000,-0.05,-0.04,0.02,-305.86
2018.01.06_I0-0_DC_NUCF_1321.tiff,54.7811716667,11.8540183333,95.0000000000,0.01,0.07,0.16,-308.51
2018.01.06_I0-0_DC_NUCF_1326.tiff,54.7812400000,11.8538950000,94.6000000000,-0.10,-0.05,0.11,-312.26
2018.01.06_I0-0_DC_NUCF_1332.tiff,54.7812750000,11.8538366667,94.7000000000,-0.02,-0.08,0.02,-313.51
2018.01.06_I0-0_DC_NUCF_1338.tiff,54.7813116667,11.8537800000,94.9000000000,0.11,-0.20,0.00,-315.07
2018.01.06_I0-0_DC_NUCF_1344.tiff,54.7813466667,11.8537250000,95.2000000000,0.14,0.12,-0.04,-316.7
2018.01.06_I0-0_DC_NUCF_1350.tiff,54.7813816667,11.8536716667,95.6000000000,-0.17,-0.04,0.01,-317.4
2018.01.06_I0-0_DC_NUCF_1351.tiff,54.7814266667,11.8536050000,95.9000000000,-0.08,0.05,-0.02,-317.12
2018.01.06_I0-0_DC_NUCF_1357.tiff,54.7814616667,11.8535483333,96.0000000000,-0.06,-0.14,0.01,-317.6
2018.01.06_I0-0_DC_NUCF_1363.tiff,54.7815000000,11.8534950000,96.3000000000,0.09,0.19,-0.13,-318.48
2018.01.06_I0-0_DC_NUCF_1369.tiff,54.7815366667,11.8534416667,96.6000000000,-0.17,0.11,-0.13,-318.97
2018.01.06_I0-0_DC_NUCF_1375.tiff,54.7815733333,11.8533883333,96.6000000000,0.14,0.09,-0.04,-318.77
2018.01.06_I0-0_DC_NUCF_1376.tiff,54.7816200000,11.8533233333,97.0000000000,-0.03,-0.04,-0.15,-319.11
2018.01.06_I0-0_DC_NUCF_1382.tiff,54.7816583333,11.8532700000,97.1000000000,0.15,0.18,-0.08,-318.92
2018.01.06_I0-0_DC_NUCF_1388.tiff,54.7816966667,11.8532166667,97.4000000000,0.02,-0.02,-0.10,-318.98
2018.01.06_I0-0_DC_NUCF_1394.tiff,54.7817350000,11.8531633333,97.6000000000,0.10,-0.01,0.04,-319.04
2018.01.06_I0-0_DC_NUCF_1400.tiff,54.7817716667,11.8531100000,97.7000000000,-0.01,-0.18,0.15,-320.04
2018.01.06_I0-0_DC_NUCF_1401.tiff,54.7818200000,11.8530450000,97.6000000000,-0.10,0.17,0.16,-320.2
2018.01.06_I0-0_DC_NUCF_1407.tiff,54.7818566667,11.8529933333,97.6000000000,-0.07,0.06,0.05,-318.78
2018.01.06_I0-0_DC_NUCF_1413.tiff,54.7818933333,11.8529400000,97.7000000000,0.02,-0.10,-0.01,-319.4
2018.01.06_I0-0_DC_NUCF_1419.tiff,54.7819316667,11.8528866667,97.9000000000,0.08,-0.13,0.12,-320.19
2018.01.06_I0-0_DC_NUCF_1425.tiff,54.7819700000,11.8528350000,98.0000000000,0.04,0.10,0.20,-320.25
